pericope_id,title,chapter,start_verse,end_verse,order
P001,Saudação,1,1,3,1
P002,Ação de graças,1,4,9,2
P003,Apelo à unidade,1,10,17,3
P004,A mensagem da cruz,1,18,25,4
P005,Gloriar-se somente no Senhor,1,26,31,5
P006,A pregação de Paulo em fraqueza e poder,2,1,5,1
P007,A sabedoria de Deus para os perfeitos,2,6,10,2
P008,Revelação pelo Espírito,2,11,13,3
P009,O homem natural e o homem espiritual,2,14,16,4
P010,Cristãos carnais e infantis,3,1,4,1
P011,"Servos de Deus, cooperadores",3,5,9,2
P012,O fundamento e a prova das obras,3,10,15,3
P013,O templo de Deus e a santidade,3,16,17,4
P014,A verdadeira sabedoria e o pertencer a Cristo,3,18,23,5
P015,Despenseiros dos mistérios de Deus,4,1,5,1
P016,O contraste: vanglória e sofrimento apostólico,4,6,13,2
P017,Admoestação paterna e disciplina,4,14,21,3
P018,O caso de imoralidade e a disciplina,5,1,5,1
P019,O fermento que leveda toda a massa,5,6,8,2
P020,Separação do que vive em pecado,5,9,13,3
P021,Litígios entre irmãos perante ímpios,6,1,8,1
P022,"Vocês foram lavados, santificados, justificados",6,9,11,2
P023,O corpo como templo do Espírito — fugir da fornicação,6,12,20,3
P024,Deveres mútuos no casamento,7,1,7,1
P025,Conselho aos solteiros e viúvas,7,8,9,2
P026,Mandamento aos casados: não separem,7,10,11,3
P027,Casamentos mistos e a santificação do cônjuge,7,12,16,4
P028,Permaneça na vocação em que foi chamado,7,17,24,5
P029,"Acerca das virgens: conselho, não mandamento",7,25,28,6
P030,A brevidade do tempo presente,7,29,31,7
P031,Cuidado sem distrações para servir ao Senhor,7,32,35,8
P032,Sobre o noivado e o casar-se,7,36,38,9
P033,Viúvas: liberdade para casar no Senhor,7,39,40,10
P034,O amor edifica: um só Deus e um só Senhor,8,1,6,1
P035,Consciência fraca e tropeço do irmão,8,7,13,2
P036,Direitos do apóstolo,9,1,6,1
P037,Fundamento bíblico do sustento ministerial,9,7,14,2
P038,Paulo não usa seus direitos para o Evangelho,9,15,18,3
P039,Fiz-me tudo para com todos,9,19,23,4
P040,"A corrida, a disciplina e a coroa incorruptível",9,24,27,5
P041,Exemplos de Israel: advertências contra a queda,10,1,13,1
P042,Fugir da idolatria: mesa do Senhor e mesa dos demônios,10,14,22,2
P043,Liberdade cristã e busca do proveito do próximo,10,23,33,3
P044,"Cabeça, cobertura e decoro nas assembleias",11,1,16,1
P045,Abusos na Ceia do Senhor,11,17,22,2
P046,Instituição da Ceia do Senhor,11,23,26,3
P047,Autoexame e disciplina na Ceia,11,27,34,4
P048,Ninguém diz: Jesus é Senhor senão pelo Espírito,12,1,3,1
P049,"Diversidade de dons, o mesmo Espírito",12,4,11,2
P050,"Um só corpo, muitos membros",12,12,26,3
P051,Os membros e os dons superiores,12,27,31,4
P052,"Sem amor, nada aproveita",13,1,3,1
P053,O amor é...,13,4,7,2
P054,A permanência do amor sobre os dons,13,8,13,3
P055,Profecia preferível ao falar em línguas na igreja,14,1,5,1
P056,Edificação exige entendimento,14,6,12,2
P057,Orar com o espírito e com o entendimento,14,13,19,3
P058,Sinais para incrédulos e impacto no visitante,14,20,25,4
P059,Ordem no culto: tudo com decência e ordem,14,26,33,5
P060,Instrução às mulheres na assembleia,14,34,35,6
P061,Conselhos finais: tudo decentemente e com ordem,14,36,40,7
P062,O evangelho e as testemunhas da ressurreição de Cristo,15,1,11,1
P063,Se não há ressurreição... vã é a fé,15,12,19,2
P064,"Cristo, as primícias, e o fim",15,20,28,3
P065,Inconsistências e santidade à luz da ressurreição,15,29,34,4
P066,Corpos: imagens da criação para explicar a ressurreição,15,35,41,5
P067,Do corruptível ao incorruptível — imagem celestial,15,42,49,6
P068,O mistério revelado: vitória sobre a morte,15,50,57,7
P069,Sede firmes e abundantes na obra do Senhor,15,58,58,8
P070,A coleta para os santos,16,1,4,1
P071,Planos de viagem e portas abertas,16,5,9,2
P072,Sobre Timóteo e Apolo,16,10,12,3
P073,Exortações breves à vigilância e ao amor,16,13,14,4
P074,A casa de Estéfanas e a sujeição aos que servem,16,15,18,5
P075,Saudações finais e a graça do Senhor,16,19,24,6
